id,brand_id,cached_brand,name,content,creator_id,phantom,created_at,updated_at,slang,from,to,preview
8235,1635,UAZ,Patriot Sport,,,f,2014-03-31 20:41:47.683967,2014-03-31 20:41:47.683967,,,,
8236,1635,UAZ,Pickup,,,f,2014-03-31 20:41:47.688592,2014-03-31 20:41:47.688592,,,,
8237,1635,UAZ,Трэкол,,,f,2014-03-31 20:41:47.693248,2014-03-31 20:41:47.693248,,,,
8238,1636,DACIA,1300,,,f,2014-03-31 20:41:47.698099,2014-03-31 20:41:47.698099,,,,
8239,1636,DACIA,Duster,,,f,2014-03-31 20:41:47.702595,2014-03-31 20:41:47.702595,,,,
8240,1636,DACIA,Logan,,,f,2014-03-31 20:41:47.707335,2014-03-31 20:41:47.707335,,,,
8241,1636,DACIA,Logan MCV,,,f,2014-03-31 20:41:47.712035,2014-03-31 20:41:47.712035,,,,
8242,1636,DACIA,Nova,,,f,2014-03-31 20:41:47.716814,2014-03-31 20:41:47.716814,,,,
8243,1636,DACIA,Pick-Up,,,f,2014-03-31 20:41:47.721786,2014-03-31 20:41:47.721786,,,,
8244,1636,DACIA,Sandero,,,f,2014-03-31 20:41:47.726288,2014-03-31 20:41:47.726288,,,,
8245,1636,DACIA,Solenza,,,f,2014-03-31 20:41:47.73075,2014-03-31 20:41:47.73075,,,,
8246,1636,DACIA,SupeRNova,,,f,2014-03-31 20:41:47.735205,2014-03-31 20:41:47.735205,,,,
8247,1637,TALBOT,1100,,,f,2014-03-31 20:41:47.739806,2014-03-31 20:41:47.739806,,,,
8248,1637,TALBOT,1510,,,f,2014-03-31 20:41:47.744486,2014-03-31 20:41:47.744486,,,,
8249,1637,TALBOT,Avenger,,,f,2014-03-31 20:41:47.748787,2014-03-31 20:41:47.748787,,,,
8250,1637,TALBOT,Express,,,f,2014-03-31 20:41:47.753518,2014-03-31 20:41:47.753518,,,,
8251,1637,TALBOT,Horizon,,,f,2014-03-31 20:41:47.758016,2014-03-31 20:41:47.758016,,,,
8252,1637,TALBOT,Samba,,,f,2014-03-31 20:41:47.762675,2014-03-31 20:41:47.762675,,,,
8253,1637,TALBOT,Solara,,,f,2014-03-31 20:41:47.767457,2014-03-31 20:41:47.767457,,,,
8254,1637,TALBOT,Sunbeam,,,f,2014-03-31 20:41:47.772447,2014-03-31 20:41:47.772447,,,,
8255,1637,TALBOT,Tagora,,,f,2014-03-31 20:41:47.778136,2014-03-31 20:41:47.778136,,,,
8256,54,MITSUBISHI,3000 GT,,,f,2014-03-31 12:59:43.262593,2014-03-31 12:59:43.262593,,,,
8257,54,MITSUBISHI,380,,,f,2014-03-31 12:59:43.344778,2014-03-31 12:59:43.344778,,,,
8258,54,MITSUBISHI,Adventure,,,f,2014-03-31 12:59:43.349924,2014-03-31 12:59:43.349924,,,,
8259,54,MITSUBISHI,Airtrek,,,f,2014-03-31 12:59:43.35469,2014-03-31 12:59:43.35469,,,,
8260,54,MITSUBISHI,Aspire,,,f,2014-03-31 12:59:43.359529,2014-03-31 12:59:43.359529,,,,
8261,54,MITSUBISHI,ASX,,,f,2014-03-31 12:59:43.364302,2014-03-31 12:59:43.364302,,,,
8262,54,MITSUBISHI,Carisma,,,f,2014-03-31 12:59:43.369206,2014-03-31 12:59:43.369206,,,,
8263,54,MITSUBISHI,Cedia,,,f,2014-03-31 12:59:43.373969,2014-03-31 12:59:43.373969,,,,
8264,54,MITSUBISHI,Celeste,,,f,2014-03-31 12:59:43.378768,2014-03-31 12:59:43.378768,,,,
8265,54,MITSUBISHI,Challenger,,,f,2014-03-31 12:59:43.383605,2014-03-31 12:59:43.383605,,,,
8266,54,MITSUBISHI,Chariot,,,f,2014-03-31 12:59:43.388158,2014-03-31 12:59:43.388158,,,,
8267,54,MITSUBISHI,Colt,,,f,2014-03-31 12:59:43.392848,2014-03-31 12:59:43.392848,,,,
8268,54,MITSUBISHI,Colt CZC,,,f,2014-03-31 12:59:43.397358,2014-03-31 12:59:43.397358,,,,
8269,54,MITSUBISHI,Colt Plus,,,f,2014-03-31 12:59:43.40184,2014-03-31 12:59:43.40184,,,,
8270,54,MITSUBISHI,Cordia,,,f,2014-03-31 12:59:43.406272,2014-03-31 12:59:43.406272,,,,
8271,54,MITSUBISHI,Debonair,,,f,2014-03-31 12:59:43.410805,2014-03-31 12:59:43.410805,,,,
8272,54,MITSUBISHI,Delica,,,f,2014-03-31 12:59:43.41823,2014-03-31 12:59:43.41823,,,,
8273,54,MITSUBISHI,Delica D:5,,,f,2014-03-31 12:59:43.429673,2014-03-31 12:59:43.429673,,,,
8274,54,MITSUBISHI,Diamante,,,f,2014-03-31 12:59:43.440822,2014-03-31 12:59:43.440822,,,,
8275,54,MITSUBISHI,Dignity,,,f,2014-03-31 12:59:43.451652,2014-03-31 12:59:43.451652,,,,
8276,54,MITSUBISHI,Dingo,,,f,2014-03-31 12:59:43.462503,2014-03-31 12:59:43.462503,,,,
8277,54,MITSUBISHI,Dion,,,f,2014-03-31 12:59:43.473217,2014-03-31 12:59:43.473217,,,,
8278,54,MITSUBISHI,Eclipse,,,f,2014-03-31 12:59:43.483936,2014-03-31 12:59:43.483936,,,,
8279,54,MITSUBISHI,eK,,,f,2014-03-31 12:59:43.4947,2014-03-31 12:59:43.4947,,,,
8280,54,MITSUBISHI,Emeraude,,,f,2014-03-31 12:59:43.50537,2014-03-31 12:59:43.50537,,,,
8281,54,MITSUBISHI,Endeavor,,,f,2014-03-31 12:59:43.516311,2014-03-31 12:59:43.516311,,,,
8282,54,MITSUBISHI,Express,,,f,2014-03-31 12:59:43.527255,2014-03-31 12:59:43.527255,,,,
